date,steps
"2014-11-26",9343
"2014-11-27",3819
"2014-11-28",2450
"2014-11-29",3979
"2014-11-30",4322
"2014-12-01",7748
"2014-12-02",10102
"2014-12-03",12610
"2014-12-04",10409
"2014-12-05",10235
"2014-12-06",2588
"2014-12-07",6125
"2014-12-08",8755
"2014-12-09",9658
"2014-12-10",13156
"2014-12-11",11804
"2014-12-12",9742
"2014-12-13",13487
"2014-12-15",13081
"2014-12-16",13409
"2014-12-22",9378
"2014-12-23",11013
"2014-12-25",12034
"2014-12-26",6567
"2014-12-28",4552
"2014-12-29",8144
"2014-12-30",8057
"2014-12-31",18084
"2015-01-01",15203
"2015-01-02",10862
"2015-01-04",3740
"2015-01-05",8459
"2015-01-06",8746
"2015-01-08",12182
"2015-01-09",13256
"2015-01-10",1074
"2015-01-11",3733
"2015-01-12",8510
"2015-01-13",11349
"2015-01-14",8636
"2015-01-15",14988
"2015-01-16",12250
"2015-01-17",3080
"2015-01-18",2955
"2015-01-19",12192
"2015-01-20",9537
"2015-01-21",9948
"2015-01-22",11304
"2015-01-23",13676
"2015-01-24",12300
"2015-01-25",10931
"2015-01-26",8744
"2015-01-28",9531
"2015-01-29",3802
"2015-01-30",1856
"2015-01-31",4344
"2015-02-01",633
"2015-02-02",9746
"2015-02-13",9935
"2015-02-25",9783

